Cycle,tAD,H2Purity,H2Puritysp
247.0,115.53069987,93.1917,93.0
248.0,115.84129304,93.1536,93.0
249.0,116.0924676,93.1225,93.0
250.0,116.0924676,93.1165,93.0
251.0,116.26973871,93.0971,93.0
252.0,116.4254342,93.0775,93.0
253.0,116.53827076,93.0621,93.0
254.0,116.53827076,93.058,93.0
255.0,116.61678794,93.0483,93.0
256.0,116.61678794,93.0451,93.0
257.0,116.67508317,93.0376,93.0
258.0,116.72176047,93.0304,93.0
259.0,116.75406374,93.0245,93.0
260.0,116.77663009,93.0199,93.0
261.0,116.79098885,93.0161,93.0
262.0,116.79857493,93.0132,93.0
263.0,116.79857493,93.0111,93.0
264.0,116.79857493,93.0092,93.0
265.0,116.79072746,93.008,93.0
266.0,116.78587426,93.0067,93.0
267.0,116.78587426,93.0049,93.0
268.0,116.77184282,93.0045,93.0
269.0,116.77184282,93.0023,93.0
270.0,116.75445539,93.0015,93.0
271.0,116.7362881,93.0016,93.0
272.0,116.7362881,93.0,93.0
273.0,116.71456878,93.0001,97.0
274.0,106.13483282,94.012,97.0
275.0,102.43129048,94.5237,97.0
276.0,97.390792225,95.0898,97.0
277.0,94.347569681,95.4724,97.0
278.0,91.525410923,95.8043,97.0
279.0,89.483013614,96.0524,97.0
280.0,87.784553404,96.2527,97.0
281.0,86.474786371,96.4073,97.0
282.0,85.417142946,96.5302,97.0
283.0,84.581966752,96.6269,97.0
284.0,83.912526025,96.7037,97.0
285.0,83.912526025,96.716,97.0
286.0,83.411481691,96.7637,97.0
287.0,82.968685894,96.8114,97.0
288.0,82.627972883,96.8499,97.0
289.0,82.348025403,96.8813,97.0
290.0,82.126381674,96.9058,97.0
291.0,82.126381674,96.9092,97.0
292.0,82.126381674,96.9109,97.0
293.0,81.959432016,96.9258,97.0
294.0,81.959432016,96.928,97.0
295.0,81.959432016,96.9284,97.0
296.0,81.816688615,96.9413,97.0
297.0,81.816688615,96.9435,97.0
298.0,81.816688615,96.9434,97.0
299.0,81.816688615,96.9429,97.0
300.0,81.702405812,96.9527,97.0
301.0,81.602585332,96.9628,97.0
302.0,81.523501892,96.9708,97.0
303.0,81.457182998,96.9775,97.0
304.0,81.403473294,96.9828,97.0
305.0,81.403473294,96.9831,97.0
306.0,81.403473294,96.9826,97.0
307.0,81.358172028,96.9859,97.0
308.0,81.358172028,96.9859,97.0
309.0,81.358172028,96.9854,97.0
310.0,81.316810322,96.9884,97.0
311.0,81.281702148,96.9914,97.0
312.0,81.281702148,96.9914,97.0
313.0,81.281702148,96.9908,97.0
314.0,81.250495661,96.9929,97.0
315.0,81.223260493,96.9952,97.0
316.0,81.223260493,96.995,97.0
317.0,81.223260493,96.9946,97.0
318.0,81.223260493,96.994,97.0
319.0,81.223260493,96.9935,97.0
320.0,81.196021723,96.9955,97.0
321.0,81.174075983,96.9973,97.0
322.0,81.154728041,96.9988,97.0
323.0,81.138274484,96.9994,97.0
324.0,81.122278556,96.9997,97.0
325.0,81.106877736,97.0,97.0
326.0,81.09201348,97.0002,97.0
327.0,81.077506011,97.0004,97.0
328.0,81.063470727,97.0008,97.0
329.0,81.050180325,97.001,97.0
330.0,81.037156934,97.0013,97.0
331.0,81.024772539,97.0015,97.0
332.0,81.012657298,97.0017,97.0
333.0,81.001001407,97.0019,97.0
334.0,81.001001407,97.0009,97.0
335.0,80.986961912,97.0009,97.0
336.0,80.973889391,97.0011,97.0
337.0,80.960916704,97.0013,97.0
338.0,80.960916704,97.0003,97.0
339.0,80.960916704,96.9991,97.0
340.0,80.942671158,96.9996,97.0
341.0,80.92788535,96.9999,97.0
342.0,80.912751579,97.0003,97.0
343.0,80.898585482,97.0007,97.0
344.0,80.885091551,97.0009,97.0
345.0,80.885091551,97.0,97.0
346.0,80.869471866,96.9999,97.0
347.0,80.854451982,97.0,97.0
348.0,80.839462091,96.9999,93.0
349.0,91.383594273,96.0127,93.0
350.0,95.11658255,95.491,93.0
351.0,100.13448252,94.92,93.0
352.0,103.16276072,94.5348,93.0
353.0,105.95986097,94.2021,93.0
354.0,107.97908108,93.9541,93.0
355.0,109.6539246,93.7534,93.0
356.0,110.93920048,93.5975,93.0
357.0,111.96923042,93.4739,93.0
358.0,112.77614111,93.3763,93.0
359.0,113.41530727,93.299,93.0
360.0,113.9180373,93.2378,93.0
361.0,114.31415075,93.1897,93.0
362.0,114.62618213,93.1513,93.0
363.0,114.62618213,93.1442,93.0
364.0,114.85203969,93.1201,93.0
365.0,115.04898027,93.096,93.0
366.0,115.194114,93.0769,93.0
367.0,115.3095421,93.0615,93.0
368.0,115.39635637,93.0491,93.0
369.0,115.46193893,93.0394,93.0
370.0,115.46193893,93.0364,93.0
371.0,115.46193893,93.0345,93.0
372.0,115.49753883,93.0293,93.0
373.0,115.53146432,93.0236,93.0
374.0,115.55110933,93.0192,93.0
375.0,115.56481931,93.0155,93.0
376.0,115.57117437,93.0126,93.0
377.0,115.57285399,93.0103,93.0
378.0,115.57033557,93.0086,95.0
379.0,110.28486746,93.5124,95.0
380.0,108.4337157,93.7652,95.0
381.0,105.9075557,94.0461,95.0
382.0,104.37677721,94.2358,95.0
383.0,102.95383165,94.4014,95.0
384.0,101.92107378,94.5256,95.0
385.0,101.06045481,94.6268,95.0
386.0,101.06045481,94.6408,95.0
387.0,100.43379914,94.7024,95.0
388.0,99.875983442,94.7652,95.0
389.0,99.455604698,94.8143,95.0
390.0,99.109926285,94.8543,95.0
391.0,99.109926285,94.8593,95.0
392.0,98.852747568,94.8838,95.0
393.0,98.852747568,94.8863,95.0
394.0,98.631296517,94.9069,95.0
395.0,98.449615625,94.9264,95.0
396.0,98.303492728,94.9422,95.0
397.0,98.184775859,94.9549,95.0
398.0,98.088559217,94.9657,95.0
399.0,98.088559217,94.9662,95.0
400.0,98.01308881,94.9723,95.0
401.0,97.945352616,94.9785,95.0
402.0,97.890842771,94.9833,95.0
403.0,97.843706028,94.9872,95.0
404.0,97.843706028,94.9864,95.0
