Time,H2,CO2
349,-3.68E-12,0.001660212
350,5.03E-13,0.001659051
351,2.82E-12,0.001657901
352,2.26E-12,0.001656763
353,-1.17E-12,0.001655635
354,-2.35E-12,0.001654519
355,-2.80E-12,0.001653415
356,-5.45E-13,0.001652322
357,1.82E-12,0.001651241
358,1.89E-12,0.001650173
359,1.23E-12,0.001649117
360,-7.85E-13,0.001648073
361,-2.19E-12,0.001647041
362,-1.45E-12,0.001646022
363,1.42E-12,0.001645015
364,5.31E-12,0.001644022
365,7.20E-12,0.00164304
366,5.71E-12,0.001642071
367,4.47E-12,0.001641115
368,2.68E-12,0.001640172
369,-5.33E-13,0.001639241
370,-3.86E-12,0.001638322
371,-6.03E-12,0.001637416
372,-5.22E-12,0.001636523
373,-5.26E-13,0.001635641
374,5.93E-12,0.001634773
375,1.31E-11,0.001633916
376,1.73E-11,0.001633072
377,1.30E-11,0.00163224
378,6.08E-12,0.00163142
379,-2.48E-12,0.001630611
380,-1.32E-11,0.001629815
381,-2.27E-11,0.001629031
382,-2.61E-11,0.001628258
383,-1.65E-11,0.001627496
384,6.99E-13,0.001626746
385,1.86E-11,0.001626008
386,3.61E-11,0.001625281
387,4.88E-11,0.001624564
388,5.09E-11,0.001623859
389,3.11E-11,0.001623165
390,-4.52E-12,0.001622482
391,-3.31E-11,0.001621809
392,-4.90E-11,0.001621146
393,-4.84E-11,0.001620494
394,-4.41E-11,0.001619853
395,-2.34E-11,0.001619221
396,8.37E-12,0.0016186
397,3.20E-11,0.001617988
398,4.48E-11,0.001617387
399,3.32E-11,0.001616795
400,3.21E-11,0.001616212
401,3.36E-11,0.001615639
402,3.31E-11,0.001615075
403,3.08E-11,0.001614521
404,2.56E-11,0.001613975
405,1.86E-11,0.001613438
406,1.01E-11,0.001612911
407,1.46E-12,0.001612391
408,-6.34E-12,0.001611881
409,-1.23E-11,0.001611379
410,-1.56E-11,0.001610885
411,-1.71E-11,0.001610399
412,-1.53E-11,0.001609922
413,-9.62E-12,0.001609452
414,-5.39E-12,0.00160899
415,-1.90E-12,0.001608536
416,2.28E-12,0.00160809
417,7.06E-12,0.001607651
418,1.23E-11,0.00160722
419,1.65E-11,0.001606796
420,1.95E-11,0.001606379
421,2.15E-11,0.001605969
422,2.22E-11,0.001605566
423,2.12E-11,0.00160517
424,2.07E-11,0.001604781
425,2.02E-11,0.001604398
426,1.91E-11,0.001604022
427,1.75E-11,0.001603652
428,1.53E-11,0.001603289
429,1.30E-11,0.001602932
430,1.04E-11,0.001602581
431,7.52E-12,0.001602236
432,4.39E-12,0.001601897
433,1.07E-12,0.001601564
434,-1.39E-12,0.001601237
435,-3.38E-12,0.001600915
436,-4.85E-12,0.001600599
437,-5.68E-12,0.001600289
438,-5.77E-12,0.001599984
439,-5.00E-12,0.001599684
440,-5.25E-12,0.001599389
441,-5.35E-12,0.0015991
442,-5.31E-12,0.001598815
443,-5.16E-12,0.001598536
444,-4.91E-12,0.001598262
445,-4.56E-12,0.001597992
446,-3.83E-12,0.001597727
447,-2.91E-12,0.001597467
448,-1.80E-12,0.001597211
449,-4.86E-13,0.00159696
450,1.03E-12,0.001596713
451,2.65E-12,0.00159647
452,3.90E-12,0.001596232
453,5.06E-12,0.001595998
454,6.09E-12,0.001595768
455,6.96E-12,0.001595543
456,7.61E-12,0.001595321
457,8.06E-12,0.001595103
458,8.37E-12,0.001594889
459,8.43E-12,0.001594679
460,8.23E-12,0.001594473
461,7.72E-12,0.00159427
462,6.88E-12,0.001594071
463,5.87E-12,0.001593875
464,4.99E-12,0.001593683
465,4.01E-12,0.001593494
466,2.92E-12,0.001593309
467,1.74E-12,0.001593127
468,4.96E-13,0.001592948
469,-7.56E-13,0.001592773
470,-1.93E-12,0.0015926
471,-3.06E-12,0.001592431
472,-4.13E-12,0.001592265
473,-5.09E-12,0.001592101
474,-5.94E-12,0.001591941
474,-5.94E-12,0.001591941
474,-6.07E-12,0.001591941
474,5.02E-06,0.001586901
475,0.064057246,0.003829985
476,0.10352005,0.004031529
477,0.12752515,0.003708564
478,0.14207444,0.003331529
479,0.1509004,0.00301735
480,0.15626946,0.00278203
481,0.15954739,0.00261587
482,0.16155991,0.002503588
483,0.16280341,0.002430303
484,0.16358049,0.002383575
485,0.16407451,0.002353998
486,0.16439669,0.002335054
487,0.16461457,0.002322542
488,0.1647689,0.00231389
489,0.16488428,0.002307565
490,0.16497561,0.002302661
491,0.16505186,0.002298642
492,0.16511855,0.00229519
493,0.16517894,0.002292113
494,0.16523509,0.002289295
494,0.16523509,0.002289295
494,0.16523509,0.002289295
494,0.165046,0.002483222
494,0.165046,0.002483222
